frame,center_x,center_y
frame_0000.png,275.0,425.0
frame_0001.png,315.0,425.0
frame_0002.png,355.0,425.0
frame_0003.png,395.0,425.0
frame_0004.png,435.0,425.0
frame_0005.png,475.0,425.0
frame_0006.png,515.0,425.0
frame_0007.png,555.0,425.0
frame_0008.png,595.0,425.0
frame_0009.png,635.0,425.0
frame_0010.png,675.0,425.0
frame_0011.png,715.0,425.0
frame_0012.png,755.0,425.0
frame_0013.png,795.0,425.0
frame_0014.png,835.0,425.0
frame_0015.png,875.0,425.0
frame_0016.png,915.0,425.0
frame_0017.png,955.0,425.0
frame_0018.png,995.0,425.0
frame_0019.png,1035.0,425.0
frame_0020.png,1075.0,425.0
frame_0021.png,1115.0,425.0
frame_0022.png,1155.0,425.0
frame_0023.png,1195.0,425.0
frame_0024.png,1235.0,425.0
frame_0025.png,1275.0,425.0
frame_0026.png,1315.0,425.0
frame_0027.png,1355.0,425.0
frame_0028.png,1395.0,425.0
frame_0029.png,1435.0,425.0
frame_0030.png,1475.0,425.0
frame_0031.png,1515.0,425.0
frame_0032.png,1555.0,425.0
frame_0033.png,1595.0,425.0
frame_0034.png,1635.0,425.0
frame_0035.png,1675.0,425.0
frame_0036.png,1715.0,425.0
